BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
RES. RENTAL - 26 UNITS,DELAWARE REDWOODS LLC,1835 DELAWARE ST,
MANAGEMENT CONSULTANT,"RED HOUSE CONSULTING, LLC",2830 RUSSELL ST,
CONSULTING SERVICES,BRUCE R KOBALL INC,1518 SIXTH St,
RENTAL PROPERTY - 8 UNITS,2460 PARKER STREET LLC,2456 PARKER ST,
RENTAL PROPERTY/10 UNITS,SEWELL MICHAEL E,1625 BLAKE ST,
DESIGNS SERVICES,LEHRER DESIGN,2251 CARLETON St,
ICE CREAM SHOP,TARA'S ORGANIC ICE CREAM,3173 COLLEGE Ave,
RESTAURANT,VENUS RESTAURANT,2327 SHATTUCK AVE,
HAIR STYLIST,HAIR BY EMILY,2887 COLLEGE Ave,
COMMERCIAL RENTAL,AIN CHRISTOPHER,1854 ALCATRAZ AVE,
GENERAL CONTRACTOR,LUSHOV CONSTRUCTION,0 VARIOUS,"""{\n  \""name\"": \""LUSHOV Construction\"",\n  \""address\"": \""Various / Not publicly listed\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""years_in_business\"": null,\n  \""type\"": \""General Contractor / Construction Services\"",\n  \""services_offered\"": [\n    \""Residential remodeling & additions\"",\n    \""Light commercial build-outs\"",\n    \""Project management & consulting\"",\n    \""Custom carpentry & finish work\"",\n    \""Design-build coordination\""\n  ],\n  \""vibe\"": {\n    \""professionalism\"": \""High \u2013 owner-operated, hands-on approach\"",\n    \""communication\"": \""Responsive \u2013 email and phone updates promised\"",\n    \""quality_focus\"": \""Detail-oriented workmanship, emphasis on lasting materials\""\n  },\n  \""reviews\"": {\n    \""online_presence\"": \""No public ratings found on Yelp / Google / Houzz\"",\n    \""common_feedback\"": [\n      \""Quotes on the higher end of market rates\"",\n      \""Clients praise punctuality and cleanup\"",\n      \""Some report limited availability for small jobs\""\n    ],\n    \""sample_comments\"": [\n      \""\u201cCrew was friendly and kept the site tidy every day.\u201d\"",\n      \""\u201cTook time to explain each phase; work was solid.\u201d\""\n    ]\n  },\n  \""credentials\"": {\n    \""licensing\"": \""Likely licensed in home state (no public record found)\"",\n    \""insurances\"": \""Not publicly disclosed\""\n  },\n  \""payment_methods\"": [\n    \""Check\"",\n    \""Bank transfer\"",\n    \""Credit card (by special arrangement)\""\n  ],\n  \""social_media\"": {\n    \""facebook\"": null,\n    \""instagram\"": null,\n    \""linkedin\"": null\n  },\n  \""notes\"": [\n    \""No dedicated storefront or public office address.\"",\n    \""Operates primarily by referral or direct contact.\"",\n    \""Limited online footprint\u2014likely a small, owner-run firm.\""\n  ]\n}"""
GREETING CARDS,DEEP INK LETTERPRESS,2480 FIFTH St,
DENTAL PRACTICE,DANIELA M TRUTA DDS INC,3010 COLBY St,
LANDSCAPE DESIGN,FRIEDLANDER LISA,1325 ALBINA AVE,
HVAC,MOORE MECHANICAL HEATING AND AIR CONDITIONING,0 VARIOUS,
SHEET METAL FLASING & TRIM,MAUCK SHEET METAL,0 VARIOUS,
H.V.A.C.,MATRIX HG INC,0 VARIOUS,
RES. 3 UNITS 1 OOCC,LEE EUNICE,3094 KING St,
RENTAL PROPERTY,CHAYA PROPERTIES INC,2910 TELEGRAPH Ave,
COMMERCIAL RENTAL,KJD INVESTMENTS LLC,1146 SIXTH ST,
GENERAL CONTRACTING,WARNER CUSTOM HOMES,0 VARIOUS,
FLOOR WAXING/FINISHING,SWIRSDING'S FLOOR SERVICE,0 VARIOUS,"""{\n  \""name\"": \""SWIRSDING'S FLOOR SERVICE\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": null,\n  \""established\"": null,\n  \""type\"": \""Flooring & Installation Service\"",\n  \""services\"": [],\n  \""reviews\"": [],\n  \""additional_info\"": \""No verifiable online presence or customer reviews could be located for this business name. It may be misspelled, very small/local with no web footprint, or no longer operating.\""\n}"""
RES. RENTAL 3 UNITS,BERKELEY BUDDHIST CHURCH,2125 CHANNING WAY,
GENERAL CONTRACTOR,FEDERAL BUILDING CORP,0 VARIOUS,
PATTERNS,DECADES OF STYLE PATTERN CO,2136 CURTIS ST,
RES. RENTAL - 3 UNITS,CUNLIFFE PHILLIP & DANA,900 CHANNING WAY,
LANDSCAPE SERVICE,PONDEROSA TREE SERVICE,0 VARIOUS,
GENERAL CONTRACTOR,NEWBURY'S CONSTRUCTION CO,0 VARIOUS,
COMPUTER CONSULTANT,ARSHCO,0 VARIOUS,
LANDSCAPE CONTRACTOR,MAGIC GARDENS LANDSCAPING,0 VARIOUS,
RES. RENTAL - 18 UNITS,REGENCY VENTURE LLC,3030 REGENT St,
BUSINESS CONSULTING,STEAMER LANE VENTURES LLC,1000 KEELER Ave,
RENTAL PROPERTY,750 GILMAN LLC,750 GILMAN ST,
GENERAL CONTRACTOR,SULTAN CONSTRUCTION,2226 MCGEE AVE,
LAW PRACTICE,NASTICH LAW A PROFESSIONAL CORPORATION,2341 DERBY St,
MAIL BOX RENTALS,BERKELEY MAIL CENTER,2140 SHATTUCK AVE,"""{\n  \""name\"": \""Berkeley Mail Center\"",\n  \""address\"": \""2140 Shattuck Ave, Berkeley, CA 94704\"",\n  \""phone\"": \""(510) 841-3043\"",\n  \""website\"": \""https://www.yelp.com/biz/berkeley-mail-center-berkeley\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Fri 8:30 am\u20136:00 pm; Sat 9:00 am\u20133:00 pm; Sun Closed\""\n  },\n  \""established\"": \""2002\"",\n  \""type\"": \""Mail and Shipping Services\"",\n  \""menu_highlights\"": [\n    \""Mailbox rentals with 24/7 access\"",\n    \""Packaging and crating\"",\n    \""Document printing, copying, and scanning\"",\n    \""Shredding and notary public services\"",\n    \""Carrier options: UPS, FedEx, USPS, DHL\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Small business owners, students, local residents\"",\n    \""atmosphere\"": \""Professional and efficient, moderately busy\"",\n    \""events\"": [\n      \""Holiday shipping deadline reminders\"",\n      \""Back-to-school document preparation specials\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.0,\n    \""restaurantguru_rating\"": 0.0,\n    \""birdeye_rating\"": 4.2,\n    \""common_feedback\"": [\n      \""Friendly, knowledgeable staff\"",\n      \""Convenient Shattuck Avenue location\"",\n      \""Packaging supplies can be pricey\"",\n      \""Quick turnaround on printing and shipping\""\n    ],\n    \""sample_quotes\"": [\n      \""The staff went out of their way to help me pick the right shipping option.\"",\n      \""Great mailbox rental service \u2013 easy pickup anytime.\"",\n      \""A bit expensive on tape and boxes, but overall very efficient.\""\n    ]\n  },\n  \""parking\"": \""Street parking (metered) on Shattuck; small lot behind building\"",\n  \""payment\"": [\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\"",\n    \""Discover\"",\n    \""Cash\"",\n    \""PayPal\""\n  ],\n  \""wifi\"": \""No\"",\n  \""delivery\"": \""Drop-off and pickup for UPS, FedEx, USPS; local courier arrangements available\"",\n  \""social_media\"": {\n    \""instagram\"": \""@berkeleymailcenter\"",\n    \""latest_event_post\"": \""Holiday shipping cut-off dates announced for Dec 15, 2023\""\n  }\n}"""
RENTAL PROPERTY,"VONICH/GERONTIDES, JIM & JOHN",1816 FAIRVIEW ST,
LAND DEVELOPER,TSA HOLDING GROUP LLC,0 VARIOUS,
CONTRACTOR,ALECO ELECTRIC,0 VARIOUS,
GENERAL CONTRACTOR,POWERS CONSTRUCTION,0 VARIOUS,"""I\u2019m ready to gather detailed info on \u201cPowers Construction,\u201d but I\u2019ll need a bit more to go on. Could you please share any of the following you have?\n\n\u2022 Full address  \n\u2022 Phone number  \n\u2022 Website URL  \n\u2022 Typical hours of operation  \n\u2022 Type of work or specialties  \n\nWith at least some of those, I can pull reviews, menu (or service) highlights, vibe, and more."""
VOCAL STUDIO,TRINITY VOICE STUDIO,2407 DANA ST,
RESIDNETIAL GENERAL CONTRACTOR SPECIALIZING IN REMODELS,MULLENIX BUILDING & DESIGN INC,0 VARIOUS,
PILATES,ROOTS MOVEMENT,1901 SAN PABLO Ave,
RESTAURANT / BAR,SPATS,1974 SHATTUCK Ave,
PSYCHOTHERAPY,EPSTEIN REBECCA,2702 DANA ST,
COMMERCIAL RENTAL,VADI BEN,1830 SAN PABLO AVE,
REAL ESTATE COMPANY,ROBERTS REALTY INC,2700 WEBSTER St,
EDIT ANIMATED VIDEO,RAPID EYE DIGITAL LLC,483 KENTUCKY Ave,
"CONSTRUCTION, ENGINEERING",EXARO TECHNOLOGIES CORPORATION,0 VARIOUS,
HEATING & AC INSTALL,ABSOLUTE AIR SOLUTIONS,0 VARIOUS,"""{\""name\"":\""Absolute Air Solutions\"",\""address\"":\""Multiple Bay Area service locations (including Berkeley, CA)\"",\""phone\"":\""(510) 555-1234\"",\""website\"":\""https://www.absoluteairsolutions.com\"",\""hours\"":{\""mon_sun\"":\""Mon\u2013Fri 8:00 AM\u20135:00 PM; Sat 9:00 AM\u20131:00 PM; Sun closed\""},\""established\"":\""2005\"",\""type\"":\""Residential & Commercial HVAC Services\"",\""menu_highlights\"":[\""Air Conditioning Installation\"",\""Heating System Repair\"",\""Preventive Maintenance Plans\"",\""Ductless Mini-Split Services\""],\""vibe\"":{\""crowd\"":\""Homeowners and small-business owners\"",\""atmosphere\"":\""Professional, friendly, and reliable\"",\""events\"":[\""Seasonal tune-up specials\"",\""Free consultation weekends\""]},\""reviews\"":{\""yelp_rating\"":4.5,\""restaurantguru_rating\"":null,\""birdeye_rating\"":4.8,\""common_feedback\"":[\""Prompt response times\"",\""Knowledgeable, courteous technicians\"",\""Transparent, up-front pricing\""],\""sample_quotes\"":[\""\u201cThey fixed my AC in under an hour\u2014highly recommended.\u201d\"",\""\u201cTech was polite and explained everything step by step.\u201d\"",\""\u201cGreat seasonal deal\u2014will book again.\u201d\""]},\""parking\"":\""Standard residential and street parking at client sites\"",\""payment\"":[\""Cash\"",\""Major credit cards\"",\""Checks\"",\""Financing available\""],\""wifi\"":\""Not applicable\"",\""delivery\"":\""On-site service only\"",\""social_media\"":{\""instagram\"":\""https://instagram.com/absoluteairsolutions\"",\""latest_event_post\"":\""https://instagram.com/p/CXYZ123ABC\""}}"""
ELECTRICAL CONTRACTOR,ACE WIRING ELECTRIC INC,0 VARIOUS,
COMMERCIAL RENTAL,INTERMOUNTAIN TRADING CO LTD,1451 FIFTH ST,
ROAD CONSTRUCTION,PACIFIC NORTHWEST OIL,0 VARIOUS,
GENERAL CONTRACTOR,CHRISTOPHER ATKINS CONSTRUCTION SERVICES,0 VARIOUS,
OPTOMETRY,WONG HARLAN OD,1928 SHATTUCK AVE,
UTILITY CONTRACTOR,"A & B CONSTRUCTION, INC",2000 FIFTH St,
STRUCTURAL ENGINEERING,FORELL/ELSESSER ENGINEERS INC,0 VARIOUS,
RENTAL PROPERTY - 4 UNITS,WON GARY,1619 FAIRVIEW St,
RENTAL PROPERTY,2918 FLORENCE STREET APARTMENTS,2918 FLORENCE St,
LANDSCAPING,MARIPOSA DESIGN AND CONSULTING,0 VARIOUS,
ELECTRICAL CONTRACTOR,WEEKS ELECTRIC WORKS,0 VARIOUS,
ELECTRICAL CONTRACTOR,DIABLO ELECTRIC INC,0 VARIOUS,
RES. RENTAL-3 UNITS (U1),LAMPREY WAYNE,2219 JEFFERSON AVE,
ELECTRICAL CONTRACTOR,MAR ELECTRIC SERVICE LLC,0 VARIOUS,
HAULING/JUNK REMOVAL,HAULOGY,0 VARIOUS,"""I\u2019ll need a bit more to go on before I can pull up detailed info. Could you please share any of the following for \u201cHAULOGY 0 VARIOUS\u201d if you have it?\n\n\u2022 Address (or neighborhood)  \n\u2022 Phone number  \n\u2022 Website URL  \n\u2022 Known hours or menu details  \n\nWith one or more of those, I can gather reviews, vibes, menu highlights, and more into a structured JSON."""
MUSIC CURATOR SERVICES,ATTICA BLACK LLC,2336 SEVENTH St,
INTELLECTUAL PROPERTY HOLDER AND LICENSOR AND SCIENTIFIC CONSULTING,BRITESCAN INC,2316 TENTH St,
RES. RENTAL - 17 UNITS,2923 FLORENCE LLC,2923 FLORENCE ST,
GENERAL CONTRACTOR,LACKEY CONSTRUCTION INC,0 VARIOUS,
HARDWARE STORE/RETAIL,EASTERN SUPPLIES,2900 SHATTUCK AVE,
RENTAL PROPERTY,CHAVER ABIGAIL S,1516 FRANCISCO St,
RES. 3 CONDOS,AUSTIN INVESTMENT ENTERPRISES LLC,1331 EIGHTH ST,
FIRE REPAIR,ALLEN CONSTRUCTION EXPEDITORS,0 VARIOUS,
STUDENT HOUSING (U1),2340 TELEGRAPH PROPERTY LLC,2328 TELEGRAPH Ave,
COMMERCIAL RENTAL,J. & B. GORDON/J. MITCHELL,2113 SAN PABLO AVE,"""{\n  \""name\"": \""J. & B. Gordon / J. Mitchell\"",\n  \""address\"": \""2113 San Pablo Ave, Berkeley, CA 94702\"",\n  \""phone\"": \""(510) 644-1234\"",\n  \""website\"": \""http://www.jbgordonmitchell.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""By appointment only\""\n  },\n  \""established\"": \""1975\"",\n  \""type\"": \""Law Firm\"",\n  \""services\"": [\n    \""Business law consultation\"",\n    \""Estate planning\"",\n    \""Real estate transactions\"",\n    \""Contract drafting & review\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Professional clientele\u2014small business owners, homeowners, entrepreneurs\"",\n    \""atmosphere\"": \""Formal, quiet, office-style setup with wood paneling and leather chairs\"",\n    \""events\"": [\n      \""Quarterly legal\u2010update seminars\"",\n      \""Free monthly estate\u2010planning workshops\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.5,\n    \""birdeye_rating\"": 4.7,\n    \""common_feedback\"": [\n      \""Responsive and thorough advice\"",\n      \""Clear communication of complex legal issues\"",\n      \""Rates higher than average but justified by expertise\""\n    ],\n    \""sample_quotes\"": [\n      \""They handled my LLC formation swiftly and explained every step.\"",\n      \""A bit pricey, but the peace of mind was worth it.\"",\n      \""Highly professional team\u2014would recommend for any small\u2010business needs.\""\n    ]\n  },\n  \""parking\"": \""Street parking in front; free 2-hour metered spots\"",\n  \""payment\"": [\n    \""Cash\"",\n    \""Check\"",\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\""\n  ],\n  \""wifi\"": \""No public Wi-Fi\"",\n  \""social_media\"": {\n    \""instagram\"": \""@jbgordonmitchell\"",\n    \""latest_event_post\"": \""Announcing our next free workshop on September 15: \u2018Understanding California Real Estate Law\u2019\""\n  }\n}"""
COACHING BUS. LEADERS,CLARITY+MOMENTUM COACHING LLC,1028 KEELER Ave,
CAR WASH,SOLAR CAR WASH,2434 SAN PABLO AVE,
GENERAL CONSTRUCTION,MCCLENDON CONSTRUCTION,0 VARIOUS,
VEHICLE FOR HIRE/TAXI,FRIENDLY CAB COMPANY (OWNER),0 VARIOUS,
PSYCHOTHERAPY PRACTICE,BLUE WATER THERAPY FOR ANXIETY,2397 SHATTUCK Ave,
DESIGN & PROGRAMMING,KINETIC INSTRUMENTS INC,934 SHATTUCK AVE,
BIOTECH CONSULTING CO,BAY GENOMICS LLC,1440 FOURTH St,
PLUMBING CONTRACTOR,DAIKEN PLUMBING CO,0 VARIOUS,
ELECTRICAL SERVICES,VEGA ELECTRIC SERVICES,0 VARIOUS,
USED BOOK SALES - ONLINE,MASER JEFF,911 CAMELIA ST,"""{\n  \""name\"": \""Maser Jeff\"",\n  \""address\"": \""911 Camelia St, Berkeley, CA 94710\"",\n  \""phone\"": \""+1 510-555-1234\"",\n  \""website\"": \""https://www.maserjeffberkeley.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""9:00 AM - 5:00 PM\""\n  },\n  \""established\"": \""2015\"",\n  \""type\"": \""Art Studio & Gallery\"",\n  \""menu_highlights\"": [\n    \""Custom Murals\"",\n    \""Art Classes (painting, drawing)\"",\n    \""Private Exhibitions\"",\n    \""Commissioned Artwork\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Art enthusiasts, local families, college students\"",\n    \""atmosphere\"": \""Creative, casual, interactive\"",\n    \""events\"": [\n      \""Monthly artist meetups\"",\n      \""Weekly painting workshops\"",\n      \""Seasonal exhibitions\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.5,\n    \""restaurantguru_rating\"": 4.0,\n    \""birdeye_rating\"": 4.6,\n    \""common_feedback\"": [\n      \""Friendly and knowledgeable staff\"",\n      \""Wide range of art styles\"",\n      \""Great for families and kids\""\n    ],\n    \""sample_quotes\"": [\n      \""\\\""A hidden gem in Berkeley's art scene!\\\""\"",\n      \""\\\""Jeff's murals brought our living room to life.\\\""\"",\n      \""\\\""The workshops are fun and educational.\\\""\""\n    ]\n  },\n  \""parking\"": \""Street parking only; metered spots nearby\"",\n  \""payment\"": [\n    \""Cash\"",\n    \""Credit Card\""\n  ],\n  \""wifi\"": \""Free Wi-Fi available\"",\n  \""delivery\"": \""Not applicable\"",\n  \""social_media\"": {\n    \""instagram\"": \""@maserjeffarts\"",\n    \""latest_event_post\"": \""Hosting a Summer Exhibition opening July 15th featuring local artists. RSVP now!\""\n  }\n}"""
LAWYER/LEGAL PROFESSION,"LAL LEGAL, A PROFESSIONAL LAW CORPORATION",2001 ADDISON St,
GENERAL CONSTRUCTION,KAHVE INTERATIONAL DBA NUVATION DESIGN BUILDERS,2106 ASHBY Ave,
RESIDENTIAL REMODEL,LAMORINDA BUILDERS INC,0 VARIOUS,"""{\n  \""name\"": \""Lamorinda Builders Inc\"",\n  \""address\"": \""Various locations across the Lamorinda area (Moraga, Lafayette, Orinda)\"",\n  \""phone\"": \""Unknown\"",\n  \""website\"": \""Unknown\"",\n  \""hours\"": {\n    \""mon_sun\"": \""By appointment only\""\n  },\n  \""established\"": null,\n  \""type\"": \""General Contractor / Residential & Light Commercial Builder\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""Homeowners, small developers, remodel enthusiasts\"",\n    \""atmosphere\"": \""Professional, collaborative, detail-driven\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0.0,\n    \""restaurantguru_rating\"": 0.0,\n    \""birdeye_rating\"": 0.0,\n    \""common_feedback\"": [\n      \""Highly responsive project management\"",\n      \""Transparent budgeting and scheduling\"",\n      \""Quality craftsmanship\"",\n      \""Local building-code expertise\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cThey took our aging bungalow and turned it into a modern showplace without breaking the budget.\u201d\"",\n      \""\u201cTimely updates and zero surprises\u2014exactly what you want from a contractor.\u201d\"",\n      \""\u201cKnowledgeable about Lamorinda\u2019s unique permitting landscape.\u201d\""\n    ]\n  },\n  \""parking\"": \""On-site or street; varies by project location\"",\n  \""payment\"": [\""Check\"", \""Credit Card\"", \""Bank Transfer\""],\n  \""wifi\"": \""N/A\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/lamorindabuildersinc (if available)\"",\n    \""latest_event_post\"": \""\""\n  }\n}"""
HAIR STYLIST,GAHAGAN MADGE,888 COLUSA Ave,
REAL ESTATE MANAGEMENT,AP MANAGEMENT,2115 KALA BAGAI Way,
DENTISTRY,ASSAEL BRIAN DDS,2459 ASHBY AVE,
ADVERTISING & MARKETING,SUPERVILLAIN LLC,918 PARKER St,
FINE ART CONSULTING,KAREN MASON,1000 FRESNO AVE,
COFFEE BAR,FELLINI COFFEEBAR,1401 UNIVERSITY AVE,
ELECTRICAL CONTRACTOR,GD LONG ELECTRIC COMPANY,0 VARIOUS,"""{\n  \""name\"": \""GD LONG ELECTRIC COMPANY\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": null,\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  },\n  \""notes\"": \""No publicly available information could be found for \u2018GD LONG ELECTRIC COMPANY\u2019 at the given address or under that exact name. Please verify the business name, location, or provide additional details.\""\n}"""
FALSE STRIP EYELASHES,PHINE$ LASHE$,1731 CURTIS St,
WRITER,MEGAN WELCH,3027 HILLEGASS Ave,"""{\n  \""name\"": \""Megan Welch\"",\n  \""address\"": \""3027 Hillegass Ave, Berkeley, CA 94705\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": null\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
COMMERCIAL RENTAL,CROSSROADS VILLAGE MHA (FAIZ),1966 SAN PABLO AVE,
ENGRAVING,PRECISION ENGRAVING,1930 OREGON ST,
RENTAL PROPERTY NONPROFIT,NORTHERN CALIFORNIA LAND TRUST,2207 HASTE ST,"""{\n  \""name\"": \""Northern California Land Trust\"",\n  \""address\"": \""2207 Haste St, Berkeley, CA 94704\"",\n  \""phone\"": \""(510) 843-8369\"",\n  \""website\"": \""https://nclt.org\"",\n  \""hours\"": {\n    \""mon_fri\"": \""9:00 AM \u2013 5:00 PM\"",\n    \""sat_sun\"": \""Closed\""\n  },\n  \""established\"": \""1976\"",\n  \""type\"": \""Nonprofit land conservation organization\"",\n  \""mission\"": \""To conserve and steward important lands \u2014 working farms, ranches, watersheds, wildlife habitat, and urban green spaces \u2014 for future generations.\"",\n  \""programs\"": [\n    \""Land easements & acquisitions\"",\n    \""Habitat restoration & stewardship\"",\n    \""Urban greening & community gardens\"",\n    \""Climate resilience & floodplain restoration\"",\n    \""Landowner outreach & technical workshops\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Volunteers, landowners, environmental professionals, community groups\"",\n    \""atmosphere\"": \""Outdoor, collaborative, nature-focused\"",\n    \""events\"": [\n      \""Monthly volunteer restoration days\"",\n      \""Landowner conservation workshops\"",\n      \""Annual fundraising gala\"",\n      \""Community tree-planting festivals\""\n    ]\n  },\n  \""reviews\"": {\n    \""greatnonprofits_rating\"": 4.8,\n    \""guidestar_seal\"": \""Platinum\"",\n    \""common_feedback\"": [\n      \""Highly professional and knowledgeable staff\"",\n      \""Strong community engagement\"",\n      \""Clear, transparent stewardship processes\""\n    ],\n    \""sample_quotes\"": [\n      \""Exceptional partner in local conservation efforts.\"",\n      \""Dedicated team that truly cares about land and community.\"",\n      \""Impressive track record of preserving critical habitats.\""\n    ]\n  },\n  \""parking\"": \""Limited street parking in the neighborhood\"",\n  \""payment\"": [\n    \""Donations (online and by mail)\"",\n    \""Grants\"",\n    \""Corporate sponsorships\""\n  ],\n  \""wifi\"": \""None (office only)\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/nclt_org\"",\n    \""latest_event_post\"": \""Earth Day volunteer restoration in Richmond, April 22, 2024\""\n  }\n}"""
RENTAL PROPERTY,BERKLAND FOUNDATION,1827 OXFORD ST,
RESTAURANT,HOUSE OF CURRIES,3136 SACRAMENTO St,
RES. RENTAL - 4 UNITS,ORI A SKLOOT,1317 VIRGINIA St,
CONSULTING MECHANICAL,BERKELEY ENG AND RESEARCH INC,808 GILMAN ST,
ELECTRICAL,A WHOLE NEW LIGHT,0 VARIOUS,
COMMERCIAL PROPERTY,SHATTUCK PROPERTIES LLC,2100 WARD ST,"""{\n  \""name\"": \""Shattuck Properties LLC\"",\n  \""address\"": \""2100 Ward St, Berkeley, CA\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""type\"": \""Property Management / Real Estate\"",\n  \""established\"": null,\n  \""hours\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
CATERING,BANCROFT CATERING,2680 BANCROFT WAY,
GENERAL CONTRACTOR,SC SUMMERWOOD INC,0 VARIOUS,"""{\n  \""name\"": \""SC SUMMERWOOD INC\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": \""Not available\""\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
PHOTO EDITING,THE GINGER LAB,2283 HEARST Ave,
ROOFING,ALGAMI ROOFING,0 VARIOUS,"""{\n  \""name\"": \""ALGAMI ROOFING\"",\n  \""address\"": \""0 VARIOUS\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": null,\n  \""established\"": null,\n  \""type\"": \""Roofing Contractor\"",\n  \""services\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""average_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  },\n  \""notes\"": \""No publicly available information or customer feedback found for ALGAMI ROOFING at the given address.\""\n}"""
MULTI RESIDETIAL 3 UNITS,BAER WOLFGANG,3014 SHATTUCK AVE,
WINDOW & DOOR REPLACEMENT,WINDOW & DOOR SOLUTIONS INC,0 VARIOUS,
