BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
DEMOLITION/CONSTRUCTION,EVANS BROTHERS INC,0 VARIOUS,
CONSTRUCTION,NV CONSTRUCTION LLC,0 VARIOUS,
ELECTRICAL CONTRACTOR,OLD TOWN ELECTRIC INC,0 VARIOUS,
CUSTOMER FRAMING/GALLERY,NIELSEN ARTS,1537 SOLANO AVE,
MODERN DANCE CENTER,SHAWL-ANDERSON MODERN DANCE,2704 ALCATRAZ AVE,
COMMERCIAL RENTAL,WU YAN P & SHU FANG,2124 CENTER ST,
RES. RENTAL - 16 UNITS,RAJ PROPERTIES LLC,2541 REGENT ST,
SHEET METAL CONTRACTOR,SEAPORT STAINLESS,0 VARIOUS,
COMMERCIAL RENTAL,APRIL TIGER LP,1762 SOLANO Ave,
HOME MODIFICATIONS,HOME SAFETY SERVICES,0 VARIOUS,
ARCHITECTURE,REGAN BICE ARCHITECTS,950 GRAYSON ST,
"ELECTRICAL TESTING, ENGINEERING AND DESIGN SERVICES",ELECTRIC POWER SYSTEMS INTERNATIONAL INC,0 VARIOUS,
ADVERTISING PRODUCTS,BRUNO AND SPENCER LIMITED,1724 MARIN AVE,
RENTAL PROPERTY (4 UNITS),MAITEN LLC,2703 WOOLSEY ST,
GENERAL CONTRACTOR,BACH CONSTRUCTION INC,0 VARIOUS,
PSYCHOTHERAPIST,SARAH ASHBROOK LMFT,2955 SHATTUCK AVE,
RES RENTAL PROPERTY,HEARST PROPS LP,2317 HEARST Ave,
DANCE STUDIO AND OFFICE,LUNA KIDS DANCE,931 ASHBY Ave,
PIZZA SHOP,ARINELL INC,2119 KALA BAGAI Way,
RENTAL PROPERTY/6 UNITS,ST JOHN BENJAMIN ETAL,1811 CARLETON ST,
GIFT STATIONERY,TRANS-LINK CORPORATION,1107 TENTH ST,
CONSULTING & COACHING,BERRIOS ANNABELLE,0 VARIOUS,
HVAC CONTRACTOR,SIMPSON SHEET METAL INC,0 VARIOUS,
PSYCHOTHERAPY,CLARK JAYDE,1918 BONITA Ave,
PROPERTY MANAGEMENT,CORE BERKELEY BANCROFT LLC,2590 BANCROFT Way,
MEXICAN RESTAURANT,YR FOOD INDUSTRIES INC,2914 COLLEGE Ave,
COMMERCIAL RENTAL,KL2067 UNIVERSITY LLC,2067 UNIVERSITY Ave,
RES. RENTAL - 4 UNITS,POY BILL L & SHEU G,1435 BONITA AVE,
MANAGEMENT SERVICE,BOBA NINJA LLC,2519 DURANT Ave,
RESIDENTIAL RENTALS - 15 UNITS,EAST BAY CHANNING WAY LLC,739 CHANNING Way,
TELECOM SERVICES,ZOOM COMMUNICATIONS INC,0 VARIOUS,
BAKED GOODS,EL REY'S BAKED GOODS,1932 NINTH St,
WINE WHOLESALER,CLANDESTINE WINES LLC,0 VARIOUS,
DESIGN STUDIO & CONSULT,LAST SATURN STUDIO,2710 ASHBY Ave,
RES. RENTAL - 4 UNITS,SINGH DEEPAK & LILA,2620 DANA ST,
WATERPROOFING CONTRACTOR,ROLAND'S WATERPROOFING INC,0 VARIOUS,
CLOTHING & FOOTWEAR,NORCAL SPORTSWEAR/SHOP COLLEGE WEAR,2175 SHATTUCK AVE,
RENTAL - 8 UNITS,AFFORDABLE HOUSING ASSOCIATES,1908 ALCATRAZ AVE,
AFTER SCHOOL PROGRAM,WEPERFORM ORG,1301 SHATTUCK Ave,
RESIDENTIAL RENTAL-4 UNITS,JAMISON WILLIAM L,3001 ELLIS ST,
COMMERCIAL RENTAL,2509 DURANT LLC,2347 TELEGRAPH Ave,
TEST/INSPECTION SVCS,CONSOLIDATED ENGINEERING LABS INC,0 VARIOUS,
SALES/SERVICE OF TWO WAY RADIO,METRO MOBILE COMMUNICATIONS,0 VARIOUS,
GENERTAL CONTRACTOR,MCLEAN CONSTRUCTION,0 VARIOUS,
CLOTHING & ACCESSORIES,EILEEN FISHER INC,1809 FOURTH St,
HVAC CONTRACTOR,BAYSIDE MECHANICAL INC,0 VARIOUS,
CONCRETE CONTRACTOR,DEL SECCO DIAMOND CORE & SAW,0 VARIOUS,
COMMERCIAL RENTAL,ESSEX BERKELEY 4TH STREET LP,700 UNIVERSITY AVE,
SOLAR CONTRACTOR,CORDA SOLAR LLC,0 VARIOUS,
PSYCHOTHERAPY,BAER BARBARA,1708 SHATTUCK AVE,
ELECTRICAL CONTRACTOR,AO ENERGY SOLUTIONS,0 VARIOUS,
WIRELESS CENTRIC ENG SVCS,SMARTWAVE TECHNOLOGIES LLC,0 VARIOUS,
GENERAL CONTRACTOR,BIG RED CONSTRUCTION,0 VARIOUS,
TECHNICAL WRITING SVCS,SYMBOLIC SOLUTIONS,1828 VIRGINIA ST,
RES. RENTAL - 19 UNITS,VON DAMM MILTON & CAROLYN,1322 SHATTUCK AVE,
RESIDENTIAL RENTAL - 24 UNITS,RODEO NO. 2 LLC,2330 BLAKE St,
ARCHITECTURAL SERVICES,LATHE ARCHITECTURE INC,1223 PARKER St,
GENERAL CONTRACTOR,AMERESCO INC,0 VARIOUS,
FITNESS CENTER,GRASSROOTS CROSSFIT,2036 BLAKE ST,
SHOE REPAIR STORE,HARRY'S SHOE REPAIR,1478 UNIVERSITY AVE,
ENVIRONMENTAL EDUCATION,ECOLOGY CENTER,2530 SAN PABLO AVE,
COMPUTER SOFTWARE,ELUVIO INC,918 PARKER St,
ROOFING CONTRACTOR,ROOFING CRAFTSMEN,0 VARIOUS,
GEN CONTRACTOR-RES.,ON THE LEVEL CONSTRUCTION,0 VARIOUS,
HVAC CONTRACTOR,ANCHOR HEATING & COOLING INC,0 VARIOUS,
HOUSEKEEPING AND LANDSCAPING SERVICES,NANCY DAE CLEANING & LANDSCAPING SERVICES,0 VARIOUS,
BUILDING ENERGY EFFICIENCY TESTING & ANALYSIS - HOME ENERGY AUDITING,ENERGINEERS,0 VARIOUS,
RENTAL PROPERTY-3 UNITS,KHOJASTEH S./FERDOWSI Z,1220 HOPKINS ST,
RESEARCH & EVAL CONSULT,DATA WITH PURPOSE LLC,5 THE CRESCENT,
GENERAL CONTRACTOR-TENANT IMPROVEMENTS,JP ADDISON CONSTRUCTION,0 VARIOUS,
FUND RAISER,MIDDLE EAST CHILDRENS ALLIANCE,1101 EIGHTH ST,
JEWELRY SALES & REPAIR,OAKS JEWELERS,1783 SOLANO Ave,
ADMIN HEADQUARTERS,SAVVY NANNY PAYROLL SERVICES LLC,1326 VIRGINIA St,
PHYSICAL THERAPY,G SPORTS PHYSICAL THERAPY INC,2041 Bancroft Way,
SMOKE DETECT CONTRUCTION,SG ARCHITECTURAL SPECIALTIES,0 VARIOUS,
IT CONSULTING,TECHNOLOGY HOUSE CALL,1197 SUTTER ST,
RENTAL PROPERTY,CONWAY MARK,2966 OTIS ST,
ELECTRICAL CONTRACTOR,ELSON ELECTRIC HOLDINGS INC,0 VARIOUS,
"RES. 5 UNITS, 1 OOCC",MANGOTICH KATHLEEN,1931 FAIRVIEW St,
RES. RENTAL-4 UNITS (U1),SHING MICHAEL & ANNETTE,1720 CEDAR St,
RENTAL PROPERTY / 3 UNITS,SPRUCE STREET PROPERTY ACCOUNT,1851 SPRUCE ST,
CELEBRITY HAIRSTYLIST,VASQUEZ KEKE,0 VARIOUS,
APARTMENT BUILDING,HAMID HASHEMI,1915 BONITA AVE,
CABINET/COUNTERTOP INSTALL,BLAKE SOLUTIONS INC,0 VARIOUS,
LINEN & UNIFORM RENTAL,MISSION LINEN SUPPLY INC,0 VARIOUS,
HOME INSPECTIONS,DMP EAST BAY INSPECTIONS,0 VARIOUS,
HAIR STYLIST,DRAKE ERIKA,0 VARIOUS,
DRYWALL CONTRACTOR,FDR DRYWALL & TAPING INC,0 VARIOUS,
DATA CONSULTING SERVICES,MURRAY ALLISON,1621 POSEN Ave,
PROGRAM ADVISOR,PETTIS LAUREN,0 VARIOUS,
REAL PROPERTY APPRAISALS,ALEXIADIS & ASSOCIATES,620 THE ALAMEDA,
GENERAL CONTRACTOR,GOLD MEDALLION INC,0 VARIOUS,
HYPNOTHERAPY,BENNETT VIRGINIA,2034 BLAKE ST,
"FREIGHT TRANSPORTATION, INVENTORY MANAGEMENT, FREIGHT BROKER",PACHYDERM LOGISTICS,2175 KITTREDGE St,
GENERAL CONTRACTOR,SCHANK BUILDERS INC,0 VARIOUS,
SALES SERVICE COMPUTER EQUIPMENT,UNISYS CORP.,0 VARIOUS,
MUSIC LESSONS,MUSIC LESSONS WITH DANIEL SHERIDAN,3088 KING St,
JANITOR,LEAL ALEJANDRA,0 VARIOUS,
ELECTRIC CONSTRUCTION,EARLE'S LO-COST ELECTRIC,0 VARIOUS,
COMMERCIAL RENTAL,GILMAN-NEILSON LLC,1308 GILMAN ST,
FIRE SPRINKLER ENGINEER/CONTRACTOR,"ANDERSON, ROWE & BUCKLEY",0 VARIOUS,
PLUMBING CONTRACTOR,BENICIA PLUMBING INC,0 VARIOUS,
COMMERCIAL RENTAL,BASANG LLC,1330 NINTH St,
NON-PROFIT ORGANIZATION,HISTORICALLY INFORM PERF INC,843 ARLINGTON AVE,
GENERAL CONSTRUCTION,A1 CONSTRUCTION GROUP CORP,0 VARIOUS,
COMMERCIAL RENTAL,DRONKERS FAMILY TRUST,2 TUNNEL RD,
COMMERCIAL RENTAL,KJD INVESTMENTS LLC,801 HARRISON ST,
REAL ESTATE SERVICES,THE AGENCY-UMRO REALTY GROUP,1619 SHATTUCK Ave,
BUSINESS CONSULTING FOR STARTUPS,STP SUSTAINABLE TRANSPORTATION CONSULTING LLC,0 VARIOUS,
COMMERCIAL RENTALS,MARTIN DAVID & REID & JOHN,2177 SHATTUCK AVE,
RE-ROOF,CORBAN CONSTRUCTION,0 VARIOUS,
RENTAL PROPERTY - 2 UNITS,OSTERMAN GARY,1006 CHANNING WAY,
DOG WALKING & BOARDING,THE COMPLETE PACK LLC,2019 PARKER St,
MARTIAL ARTS INSTRUCTION,WEST WIND SCHOOLS,1775 SOLANO Ave,
YOGA INSTRUCTION,"""JUST YOGA""",827 BANCROFT Way,
ART TEACHER,ART-ON-SITE,0 VARIOUS,
PSYCHOTHERAPY,MAISEL RICHARD,1530 FIFTH St,
PLUMBING CONTRACTOR,GUARANTEED PLUMBING,0 VARIOUS,
MEDICAL CONSULTING,EFREN A BOSE JR,0 VARIOUS,
RES. RENTAL - 6 UNITS,MORRIS EMMA,1421 MILVIA ST,
MARITIAL ARTS SCHOOL,AIKIDO OF BERKELEY,1514 UNIVERSITY AVE,
"WEB HOSTING, DEVELOPMENT",SEVAA GROUP INC,0 VARIOUS,
RENTAL PROPERTY,WONG JUNE,1433 BERKELEY Way,
RES. BUILDING CONTRACTOR,MCBRIDE CONSTRUCTION,1429 CHANNING Way,
RES. RENTAL - 6 UNITS,M M & N PROPERTIES,2247 DWIGHT WAY,
APARTMENT RENTALS,1804 62ND STREET LLC,1406 ALLSTON Way,
PLUMBING CONTRACTOR,WILSON PLUMBING INC,0 VARIOUS,
LAW FIRM,HAGENS BERMAN SOBAL SHAPIRO,715 HEARST AVE,
HOME OFFICE SERVICES,POSTAL ANNEX #33,2425 CHANNING WAY,
DENTAL OFFICE,DANIEL CHEN DDS INC,2930 M L KING JR Way,
NONPROFIT PUBLISHING,HEYDAY,1808 SAN PABLO Ave,
HVAC CONTRACTOR,MARELICH MECHANICAL INC,0 VARIOUS,
RENTAL PROPERTY/56 UNITS,LAKIREDDY PRASAD R,2520 HILLEGASS AVE,
COMMERCIAL RENTAL,2600 TENTH STREET LLC,2600 TENTH ST,
FOOD & BEVERAGE,SLIVER PIZZERIA,2468 TELEGRAPH Ave,
RES. RENTAL - 7 UNITS,2712 DERBY LLC,2339 OREGON St,
GENERAL CONTRACTOR,R O S INC,0 VARIOUS,
IT SUPPORT SERVICES,CYPRESS IT,1246 HEARST Ave,
COMMERCIAL RENTAL,REES DEVELOPMENT COMPANY,2936 SEVENTH ST,
RES. RENTAL - 8 UNITS,DERSARKISSIAN HERAND & STELLA,1312 JOSEPHINE ST,
RENTAL PROPERTY  6 UNITS,COLLIER PAMELA/BATTI GREG,2400 DANA ST,
COMMUNICATION CONTRACTOR,CABLECOM LLC,0 VARIOUS,
ELECTRICAL CONTRACTOR,SPOTLIGHT ELECTRIC,0 VARIOUS,
"AUTOMOTIVE SERVICES, LEASING, REPAIR",M GROUP LLC,2700 SHATTUCK Ave,
RES. RENTAL - 21 UNITS,HUMPHREYS C F & S M,2041 FRANCISCO ST,
ARCHITECTURAL SERVICE,BAKER & VILAR ARCHITECTS,1150 CRAGMONT AVE,
FLOOR COVERING CONTRACTOR,HARRY L MURPHY INC,0 VARIOUS,
SIGN COMPANY,AD IMAGE ADVERTISING,0 VARIOUS,
HAIR SALON,MARMALADE SALON LLC,2980 COLLEGE Ave,
AUTO REPAIR SERVICE,BASURTO HENRY SERVICE,1321 GILMAN ST,
RES. RENTAL - 15 UNITS,AMELION PROPERTIES I LLC,1550 WALNUT ST,
CONSTRUCTION,HUBEYMAR CONSTRUCTION,0 VARIOUS,
PARKING LOT,WIBOWO RINALDI & YVONNE LIAO,1817 ALLSTON WAY,
RENTAL PROPERTY 5 UNITS,MASURET SUZANNE,2639 FULTON ST,
COMMERCIAL RENTAL OFFICES,DRAA PATRICIA,2942 DOMINGO AVE,
RENTAL PROPERTY (4-PLEX),YAO CHI K/TAI JOLAN,1716 DERBY ST,
COMMERCIAL RENTAL,CATALDO MARILYN,1590 HOPKINS ST,
RENTAL PROPERTY 5 UNITS,GIL GIL/OPPENHEIMER IDO/YOKO,1920 HASTE ST,
CAF�/RESTAURANT,SK GOURMET FOODS LLC,2944 COLLEGE Ave,
ASPHALT/CONCRETE,BREAULT ASPHALT MAINTENANCE INC,0 VARIOUS,
ADMINISTRATION OFFICE,GLEASON & TANKARD,2530 TENTH ST,
RES. RENTAL - 3 UNITS,XI RUIHUA,2031 LINCOLN ST,
FIREPLACE INSTALLATION,JASON GAMMILL,0 VARIOUS,
RES. RENTAL - 36 UNITS,HASHEMI MORTEZA & H,2721 HASTE ST,
PHYSICAL SECURITY,CREATIVE SECURITY COMPANY INC,0 VARIOUS,
RES. RENTAL - 16 UNITS,ENT KENNETH E & GREGORY W,2435 HASTE ST,
RES. RENTAL - 4 UNITS,NOBUKO FUJIMOTO & FUJIMOTO M,2110 STUART ST,
DYE PRODUCTION R&D,HUUE INC,2607 SEVENTH St,
RENTAL PROPERTY,DI COSTANZO AMY,1824 ROSE ST,
RES. RENTAL - 4 UNITS,FARID FARSAD,2737 GRANT ST,
ELECTRICAL CONTRACTOR,RADMAN ELECTRIC,0 VARIOUS,
ORG. DEVELOPMENT CONSULTING,ANTI-OPPRESSION RESOURCE AND TRAINING ALLIANCE COOPERATIVE INC,0 VARIOUS,
CLOTHING STORE,SIAMESE DREAM,3180 COLLEGE AVE,
RES. RENTAL - 15 UNITS,BOUZOS VASILIOS,2617 COLLEGE AVE,
LAW FIRM,MIDORI LAW GROUP PC,2039 SHATTUCK Ave,
RESTAURANT,OCEANVIEW DINER,1807 FOURTH St,
YOUTH SOCCER COACHING,KOEHLER KOACHING,0 VARIOUS,
LASER INSTRUMENTS,FEMTOCHROME RESEARCH INC,2123 FOURTH ST,
HVAC CONTRACTOR,RMI MECHANICAL CONTRACTORS INC,0 VARIOUS,
RENTAL PROPERTY,2201-2203 DERBY STREET LLC,2201 DERBY St,
LIGHT MANUFACTURING,MCEWEN LIGHTING STUDIO,2748 NINTH ST,
WOMENS CLOTHING & GIFT SHOP,PATINA,1894 SOLANO AVE,
RENTAL PROPERTY 5 UNITS,LENG ZHIQIANG,1550 OXFORD St,
ARCHITECTURAL DESIGN SVC,SIEGEL & STRAIN ARCHITECTS,0 VARIOUS,
WOOD & SIDING REPAIR,FITZPATRICK CONSTRUCTION,0 VARIOUS,
THERMAL INSULATION,TIGRE FIRESTOP & INSULATION,0 VARIOUS,
GENERAL CONTRACTOR,CANSECO CONSTRUCTION CORP,0 VARIOUS,
RES. RENTAL - 21 UNITS,2521 REGENT STREET LLC,2521 REGENT St,
ARCHITECTURAL CONSULTING,WINKEL STEVEN R,0 VARIOUS,
CONCRETE FOUNDATION,WOOD PECKER CONCRETE,0 VARIOUS,
GENERAL CONTRACTOR,SUNSTONE HOME CALIFORNIA LLC,0 VARIOUS,
RENEWABLE ENERGY,EXERGY ENERGY LLC,2809 TELEGRAPH Ave,
THREADING & SKIN CARE,M & M THREAD SALON INC,2432 DURANT Ave,
HVAC,RED MOUNTAIN HEATING AND AIR INC,0 VARIOUS,
MARKETING SERVICES,POLYTECHNIC MARKETING LLC,2120 UNIVERSITY Ave,
RESTAURANT,JOTMAHAL PALACE OF INDIAN CUISINE,1543 SHATTUCK Ave,
HEATING & AC CONTRACTOR,CALIFORNIA HEATING AND COOLING,0 VARIOUS,
LAW FIRM,BURKE WILLIAMS & SORENSEN LLP,0 VARIOUS,
RENTAL PROPERTY - 4 UNITS,REO HOMES 2 LLC,3109 KING ST,
RES. RENTAL - 4 UNITS,ROBERTS BILL & RANDICE,1903 CURTIS ST,
BUSINESS IMPROVEMENT,NORTH SHATTUCK ASSOCIATION PBID,2046 LINCOLN ST,
COMMERCIAL RENTAL,SHATTUCK PROPERTIES LLC,2839 SHATTUCK Ave,
RENTAL PROPERTY/ 3 UNITS,HALLINAN DANIEL & WENDY,2550 MABEL ST,
RESIDENTIAL RENTAL,SIAN SHUMWAY,2331 RUSSELL St,
CREATIVE ARTS STUDIO,THE JEWISH STUDIO PROJECT,2643 DANA St,
GENERAL CONTRACTOR,ART OF BUILDING ARCHITECTURE CONSTRUCTION MANAGEMENT INC,1760 SOLANO Ave,
REVITALIZE KLAMATH BASIN,KLAMATH RIVER RENEWAL CORPORATION,2001 ADDISON St,
SCREW MACHINE PRODUCTS,EDWARD KOEHN CO INC,820 FOLGER Ave,
COMMERCIAL RENTAL STORAGE,1509 4TH STREET LP,1509 FOURTH ST,
EXECUTIVE SEARCH & RECRUITMENT,VIVENTE CORPORATION SEARCH,2120 UNIVERSITY Ave,
COFFEE SERVICE,DAIOHS U.S.A. INC,0 VARIOUS,
MARTIAL ARTS INSTRUCTION,MODERN COMBATIVES LLC,1450 SAN PABLO AVE,
RENTAL PROPERTY,CHANNING PARTNERS LLC,1930 CHANNING WAY,
COM RENTAL PROPERTY 10 UNITS,RUE-ELL ENTERPRISES INC,2534 DURANT AVE,
PRESENT ART TO PUBLIC,IMMERSIVE ARTS ALLIANCE,1808 FAIRVIEW St,
ELECTRICAL CONTRACTOR,ROBERTS ELECTRIC CO INC,0 VARIOUS,
COMMERCIAL RENTAL,SOROKIN SAM,1611 SAN PABLO AVE,
PAINTING,BAY AREA PRO PAINTING INC,0 VARIOUS,
"PLUMBING INSTALLATION SERVICE, REPAIR",JOSSKI PLUMBING,0 VARIOUS,
COFFEE MANUFACTURING,YELLOW ROSE COFFEE,2322 FIFTH St,
HR CONSULTING,SPRINGBORG & ASSOCIATES,2227 TENTH ST,
FULL SERVICE RESTAURANT,COMAL,2020 SHATTUCK AVE,
EXECUTIVE RECRUITER/MGMT CONSULTING,CITY MANAGEMENT ADVISORS LLC,0 VARIOUS,
HVAC CONTRACTOR,RIVERA'S HEATING & A/C,0 VARIOUS,
RENTAL PROPERTY/11 UNITS,VICARS MANAGEMENT,1627 WOOLSEY ST,
UNDERGROUND UTILITY LOCATING,CHAMPION CLEANING SPECIALISTS INC,0 VARIOUS,
COMMERCIAL RENTAL,LIPNOSKY ANDREW J,1672 UNIVERSITY AVE,
RENTAL PROPERTY,RIPSTEEN RYAN,2085 VINE ST,
GENERAL CONTRACTOR,SERVPRO,0 VARIOUS,
COMMUNITY CENTER,ASHKENAZ MUSIC & DANCE COMM CT,1317 SAN PABLO AVE,
JANITORIAL SERVICES,RAMOS MEDICAL JANITORIAL SERVICES,0 VARIOUS,
RES. RENTAL - 4 UNITS,SINGH RAO R & KALPANA,1445 DWIGHT WAY,
EXERCISE STUDIO,THE BAR METHOD BERKELEY,2095 ROSE ST,
TENANT ADVOCACY,2 PLUS 1 HOUSING RESOLUTION SERVICES,0 VARIOUS,
GENERAL CONTRACTOR,LEVITCH ASSOCIATES INC,1029 HEINZ AVE,
CHILD CARE 49-CHILDREN,WOOLLY MAMMOTH CHILDCARE,1484 UNIVERSITY Ave,
COMMERCIAL RENTAL,LAI M AHOY B LAM C LAM,1414 SAN PABLO AVE,
HUMAN PERFORMANCE ED,O2X HUMAN PERFORMANCE LLC,0 VARIOUS,
EVENT FLORAL DESIGN,DUET BOTANICAL,2332 FOURTH St,
RES. RENTAL - 5 UNITS,YEE KWOK MING,1818 VIRGINIA ST,
COMMERCIAL RENTAL,GORDON JOHN & MITCHELL JANIS,2277 SHATTUCK Ave,
GENERAL CONTRACTOR,DEVCO,3195 ADELINE ST,
MECHANICAL CONTRACTOR,YUM'S MECHANICAL CO INC,0 VARIOUS,
PUBLIC UTILITY,TPX COMMUNICATIONS,0 VARIOUS,
COPY CENTER,ELMWOOD COPY AND PRINTING,2980 COLLEGE Ave,
ROOFING SERVICES,BAY SIDE ROOFING,0 VARIOUS,
YOUTH ORGANIZATION,YOUTH SPIRIT ARTWORKS,1740 ALCATRAZ,
ARCHITECT,ENVELOPE A & D,2212 SIXTH ST,
THERAPY,GET REAL HAPPINESS LLC,1331 HASKELL St,
ENVIRONMENTAL SCIENCE,AGUATIERRA ASSOCIATES INC,2560 NINTH St,
ELECTRICAL CONTRACTOR,BAXTER ELECTRIC INC,0 VARIOUS,
"RES. 36 UNITS, 2 COMM",CAL HOTEL,2008 SHATTUCK Ave,
ENERGY AUDIT & CONSULTANT,BASALTIC INC,0 VARIOUS,
RES. RENTAL - 6 UNITS,BERKELEY MULTIFAMILY II PROPERTY OWNER LLC,1729 ARCH St,
BOOKSTORE,AFIKOMEN,3042 CLAREMONT AVE,
ELECTRICAL CONTRACTOR,INTREPID ELECTRONIC SYSTEMS,0 VARIOUS,
ELECTRICAL INSTALLATIONS,POWER TEN LLC,0 VARIOUS,
GENERAL CONTRACTOR,LION GROUP CONSTRUCTION,0 VARIOUS,
PSYCHOTHERAPY,TRINKLE JENNIFER,1905 BERKELEY Way,
CONSULTANT,KATE HARRISON CONSULTING,0 VARIOUS,
RES RENTAL - 1 UNIT (U1),HART JOEL,1250 ASHBY Ave,
CONSULTING ENGINEERING,HN DEVELOPMENT LLC,1818 TENTH St,
BREAD BAKERY,DOUGHTRONICS INC,2730 NINTH ST,
RENTAL PROPERTY,1169 EUCLID AVE LLC,1169 EUCLID AVE,
RES RENTAL PROPERTY - SFR,KONG CONRAD,831 PAGE St,
TATTOO,WAR HORSE TATTOO LLC,2599 TELEGRAPH AVE,
ELEVATOR REPAIR CONTR,PARAMOUNT ELEVATOR CORPORATION,0 VARIOUS,
COMMERCIAL RENTAL,2530 SAN PABLO AVE PARTNERSHIP,2530 SAN PABLO AVE,
ELECTRICAL CONTRACTOR,GOLDEN WIRE ELECTRIC INC,0 VARIOUS,
RES. RENTAL-7 UNITS,MATLAK TOMASZ & FUNG NICOLA,1371 SHATTUCK Ave,
FOOD/SPICE STORE,MILAN INTERNATIONAL,990 UNIVERSITY AVE,
COMMERCIAL RENTAL - STORE,O'HAY PHILIP & BARBARA,2807 TELEGRAPH AVE,
MEDICAL OFFICE,SUTTER EAST BAY MEDICAL FOUNDATION,3075 ADELINE St,
SOCCER CLUB,ALBANY-BERKELEY SOCCER CLUB,0 VARIOUS,
SOLAR PANEL INSTALL,KSG SOLAR SERVICES INC,0 VARIOUS,
ARTS AND CRAFT STUDIO,ORGANIC ORIGAMI,1450 FOURTH St,
WEB ADMINISTRATOR,FUJISAN MAGAZINE SERVICE USA,1913 ADDISON St,
INSULATION,BAY VALLEY INSULATION INC,0 VARIOUS,
REMODEL OF HOME,STERLING BUILDERS AND REAL ESTATE SERVICES,0 VARIOUS,
CONSULTING,TRANSCENDENT SOLUTIONS LLC,2204 ROOSEVELT AVE,
RES. RENTAL - 8 UNITS,WONG JIANNE,2667 DERBY ST,
FURNITURE,THE LONG CON,1102 GILMAN St,
COMMERCIAL RENTAL,1974 SHATTUCK AVENUE LLC,1974 SHATTUCK Ave,
RESIDENTIAL CONSTRUCTION,KP CARPENTRY BAY AREA INC,0 VARIOUS,
WINDOWS/DOORS INSTALLATION,A&E INSTALLATIONS INC,0 VARIOUS,
RES. RENTAL - 4 UNITS,NANCY PERRY C AIN & R HEATH,2711 PARKER ST,
LANDSCAPE CONTRACTOR,WATERSPROUT INC,0 VARIOUS,
ACOUSTIC CEILING,SPACETONE ACOUSTIC INC,0 VARIOUS,
VIETNAMESE FOOD,PHO LE,1301 SAN PABLO Ave,
PSYCHIATRY PRACTICE,PRECISION PSYCHIATRY INC,1476 GREENWOOD Ter,
RES. RENTAL-2 UNITS (U1),AUDO LEONARD,2227 BROWNING St,
RESTAURANT - SOUTH INDIAN FOOD - FAST CASUAL,POCHYS,1019 CAMELIA St,
PSYCHOTHERAPY,VERNON AHBI MFT,2901 SHATTUCK AVE,
CONSTRUCTION,C L CONSTRUCTION,0 VARIOUS,
ELECTRICAL CONTRACTOR,MISTER SPARKY,0 VARIOUS,
GENERAL CONTRACTOR,HAN SMITH CONSTRUCTION LLC,0 VARIOUS,
MUSIC COMPOSITION,FULLMAN ELLEN,2430 FIFTH ST,
GENERAL CONTRACTOR,ROBERT A BOTHMAN INC,0 VARIOUS,
PSYCHOTHERAPY/TELEHEALTH,JACLYN LAMBE PSYD,0 VARIOUS,
SPREADS AND SNACKS,TREAT STREET SNACKS LLC,1908 NAPA Ave,
RENTAL PROPERTY 9 UNITS,DANA2500,2500 DANA ST,
PLUMBING CONTRACTOR,ALL PRO REPIPE INC,0 VARIOUS,
HVAC CONTRACTOR,COMFORT HOME HEATING & AIR,0 VARIOUS,
MEDICAL DEVICE RESEARCH,MARTIN DEBRECZENY CONSULTING,315 THE SPIRAL,
EXEC FUNCTION ASSITANCE,KRIS CASIMIR GOOD COMPANY,0 VARIOUS,
GENERAL CONTRACTOR,DIAMOND BRIDGE BUILDERS INC,0 VARIOUS,
FOURPLEX RENTAL,ETTEFAGH FATEMEH & LEILA,2942 HILLEGASS Ave,
CONSULTING,DOMINGUEZ-ARMS AMY,0 VARIOUS,
DESIGNER,JG HOLBROOK DESIGN,2230 MCGEE Ave,
PSYCHOTHERAPY,AABECA HOLISTIC PSYCHOLOGICAL,2397 SHATTUCK Ave,
PSYCHOTHERAPY,MURRAY SUSAN LCSW,1307 UNIVERSITY Ave,
RENTAL PROPERTY - 4 UNITS,ZITO JACQUELYN,1612 HOPKINS St,
ENGINEERING CONTRACTOR,SANDSTONE ENVIRONMENTAL ENGINEERING INC,0 VARIOUS,
UTILITY USER PROVIDER,NEW CINGULAR WIRELESS PCS LLC,0 VARIOUS,
PILATES PERSONAL TRAINING,ROOT & LIMB LLC,746 GILMAN St,
"RES. 38 UNITS, COMM","DWF VI VMG TELEGRAPH GARDENS, LLC",3001 TELEGRAPH Ave,
FRATERNITY,LAMBDA CHI ALPHA,2421 PROSPECT ST,
COMMERCIAL RENTAL,LIBAIRE LEATHER INC,2100 FIFTH St,
HAIRSTYLING,NINA CARTER STYLING,2926 DOMINGO Ave,
RESEARCH/EVALUATION CONSULTING & PERSONAL/PROFESSIONAL DEVELOPMENT,MIGHTY CATALYST,151 AVENIDA Dr,
PHYSICAL THERAPY,MONIKA MANN,2217 BROWNING St,
REAL ESTATE OFFICE,BAY AREA PROPERTIES,3088 CLAREMONT AVE,
ELECTRICAL CONTRACTOR,CROCKETT ELECTRIC CO,0 VARIOUS,
MUSIC PUBLISHING ADMIN,INTELLECTUAL PROPERTY COLLECTIONS LLC,2161 SHATTUCK Ave,
REAL RENTAL PROPERTY,WEINSTEIN & KOVIS,1522 GRANT ST,
