APN,RecordID,BusDesc,B1_PER_SUB_TYPE,DBA,NAICS,Tax_Code,Employee_Num,Bus_Own_Type,B1_BUSINESS_NAME,B1_ADDRESS1,B1_ADDRESS2,B1_CITY,B1_STATE,B1_ZIP,B1_CONTACT_TYPE,B1_FULL_ADDRESS,B1_SITUS_CITY,B1_SITUS_STATE,B1_SITUS_ZIP,Business_Location
ZZZZZZZZZZZZZ,BL-021882,MANAGEMENT CONSULTING,Professional SemiProfessional,CHARIS ADVISORY GROUP,541611 - Administrative Management and General Management Consulting Services,P,1,LLC,CHARIS ADVISORY GROUP,1569 SOLANO AVE PMB 231,,BERKELEY,CA,94707,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-020354,LEGAL SERVICES,Professional SemiProfessional,"MANATT, PHELPS & PHILLIPS LLP",541110 - Offices of Lawyers,P,835,LLP/LP,"MANATT, PHELPS & PHILLIPS LLP",2049 CENTURY PARK E STE 1700,,LOS ANGELES,CA,90067-3119,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 184100900,BL-020644,RESIDENTIAL RENTAL - 12 UNITS,Rental of Real Property,2620 HILLEGASS AVENUE LLC,531110 - Lessors of Residential Buildings and Dwellings,L,2,LLC,2620 HILLEGASS AVENUE LLC,2855 TELEGRAPH AVE STE 310,,BERKELEY,CA,94705-1129,Business Owner,2620 HILLEGASS Ave,BERKELEY,CA,94704,
053 165901605,BL-005137,BILINGUAL SCHOOL,Professional SemiProfessional,BERKELEY CHINESE BILINGUAL SCHOOL,611410 - Business and Secretarial Schools,P,14,Corporation,BERKELEY CHINESE BILINGUAL SCHOOL,2830 9TH ST,,BERKELEY,CA,94710-2709,Business Owner,2830 NINTH St,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-029193,STREET & HIGHWAY CONTR,Construction or Contractor,GOEBEL CONSTRUCTION INC,"237310 - Highway, Street, and Bridge Construction",C,50,Corporation,GOEBEL CONSTRUCTION INC,PO BOX 2745,,PETALUMA,CA,94953,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 185001000,BL-009943,RES. RENTAL - 4 UNITS,Rental of Real Property,OVERSLOOT JULIA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,OVERSLOOT JULIA,2536 PIEDMONT AVE,,BERKELEY,CA,94704-3163,Business Owner,2536 PIEDMONT AVE,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-049031,GENERAL CONTRACTOR,Construction or Contractor,EPIPHANY BUILDERS,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0,Sole Ownership,EPIPHANY BUILDERS,4128 WOODRUFF AVE,,OAKLAND,CA,94602,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-012603,GRAPHIC DESIGN,Professional SemiProfessional,PUSHCART DESIGN,541430 - Graphic Design Services,P,0,Sole Ownership,PUSHCART DESIGN,281 41ST ST APT 10,,OAKLAND,CA,946115603,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-018924,LAB CASEWORK,Manufacturing,LABORATORY BY DESIGN INC,334516 - Analytical Laboratory Instrument Manufacturing,M,4,Corporation,LABORATORY BY DESIGN INC,20 ENTERPRISE CT STE 3,,NAPA,CA,945587587,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
056 197801900,BL-014546,SOCIAL ORGANIZATION,Non Profit Organizations,YMCA OF THE EAST BAY,813410 - Civic and Social Organizations,N,16,Corporation,YMCA OF THE EAST BAY,2009 10TH ST,,BERKELEY,CA,947102119,Business Owner,2009 TENTH ST,BERKELEY,CA,94710,
058 217802600,BL-020696,COFFEE SHOP,Retail Trade,CAFE PARISIEN INC,722513 - Limited-Service Restaurants,R,2,Corporation,CAFE PARISIEN INC,1625 SHATTUCK AVE STE 102,,BERKELEY,CA,94709-1683,Business Owner,1625 SHATTUCK Ave,BERKELEY,CA,94709,
ZZZZZZZZZZZZZ,BL-046167,GENERAL CONTRACTOR,Construction or Contractor,SAMCO CONSTRUCTION INC,236118 - Residential Remodelers,C,2,Corporation,SAMCO CONSTRUCTION INC,1623 NORIEGA ST,,SAN FRANCISCO,CA,94122-4305,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-020754,CHARTER FISHING,Entertainment Recreation,DELTA FISHING CHARTERS,713990 - All Other Amusement and Recreation Industries,E,1,Sole Ownership,DELTA FISHING CHARTERS,306 OROVILLE CT,,DISCOVERY BAY,CA,945052600,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 188302800,BL-010864,RES. RENTAL - 6 UNITS,Rental of Real Property,KRASZULYAK MICHAEL S JR & L & S,531110 - Lessors of Residential Buildings and Dwellings,L,5,Sole Ownership,KRASZULYAK MICHAEL S JR & L & S,4844 TELEGRAPH AVE,,OAKLAND,CA,94609-2010,Business Owner,2332 CHANNING Way,BERKELEY,CA,94704,
061 261400300,BL-040491,COMMERCIAL PROPERTY,Rental of Real Property,EPHRAIM M LEVY,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,Sole Ownership,EPHRAIM M LEVY,944 ARLINGTON BLVD,,EL CERRITO,CA,94530-2704,Business Owner,1722 SOLANO AVE,BERKELEY,CA,94707,
054 171903700,BL-018176,LEASE SELF STORAGE UNITS,Business Personal Repair Svs,SECURESPACE SELF STORAGE BERKELEY,531130 - Lessors of Miniwarehouses and Self-Storage Units,B,0,LLC,SECURESPACE SELF STORAGE BERKELEY,"2015 Manhattan Beach Blvd., Suite 104",,Redondo Beach,CA,90278,Business Owner,2721 SHATTUCK Ave,BERKELEY,CA,94705,
057 211400201,BL-037506,RESTAURANT,Retail Trade,TACUBAYA LLC,722211,R,49,LLC,TACUBAYA LLC,1782 4TH ST,,BERKELEY,CA,94710,Business Owner,1782 FOURTH St,BERKELEY,CA,94710,
058 219401200,BL-020130,RENTAL PROPERTY - DUPLEX,Rental of Real Property,ANDERSON PAULA/JEC ASSOCIATES,531110 - Lessors of Residential Buildings and Dwellings,L,0,,ANDERSON PAULA/JEC ASSOCIATES,1035 SAN PABLO AVE STE 12,,BERKELEY,CA,94706-2277,Business Owner,2403 VIRGINIA ST,BERKELEY,CA,94709,
057 208602501,BL-017495,COMMERCIAL RENTAL,Rental of Real Property,SAN PABLO INVESTORS ONE LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,SAN PABLO INVESTORS ONE LLC,200 SPECTRUM CENTER DR STE 1450,,IRVINE,CA,926185003,Business Owner,1835 SAN PABLO Ave,BERKELEY,CA,94702,
055 186900800,BL-023752,RES. RENTAL - 21 UNITS,Rental of Real Property,WANGER INGRID & RYAN,531110 - Lessors of Residential Buildings and Dwellings,L,4,Sole Ownership,WANGER INGRID & RYAN,45 La Campana Rd,,Orinda,CA,945631830,Business Owner,2717 CHANNING WAY,BERKELEY,CA,94704,
057 202601300,BL-037719,FLOWER SHOP,Retail Trade,CAL FLOWER SHOP,453110 - Florists,R,0,Sole Ownership,CAL FLOWER SHOP,3733 HIDDEN SPRINGS CT,,EL SOBRANTE,CA,94803-2145,Business Owner,2170 SHATTUCK Ave,BERKELEY,CA,94704,
060 240502300,BL-016109,RESTAURANT,Retail Trade,SISTORY THAI KITCHEN,722511 - Full-Service Restaurants,R,6,Corporation,SISTORY THAI KITCHEN,1233 SAN PABLO AVE,,BERKELEY,CA,947062217,Business Owner,1233 SAN PABLO Ave,BERKELEY,CA,94706,
ZZZZZZZZZZZZZ,BL-020051,GENERAL CONSTRUCTION COMMERCIAL AND RESIDENTIAL,Construction or Contractor,HBM CONSTRUCTION,236220 - Commercial and Institutional Building Construction,C,1,Corporation,HBM CONSTRUCTION,7901 OAKPORT ST STE 4200,,OAKLAND,CA,94621-2015,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
060 240701000,BL-010732,ACCOUNTING SERVICES,Professional SemiProfessional,THREE BUTTERFLIES CONSULTING,541219 - Other Accounting Services,P,4,Cooperative Corporation,THREE BUTTERFLIES CONSULTING,2625 ALCATRAZ AVE # 270,,BERKELEY,CA,94705-2702,Business Owner,1226 CORNELL Ave,BERKELEY,CA,94706,
058 215802900,BL-021045,FULL-SERVICE BOOKKEEPING,Professional SemiProfessional,GENJIBOOKS,541219 - Other Accounting Services,P,0,Sole Ownership,GENJIBOOKS,1614 FRANCISCO ST,,BERKELEY,CA,94703-1217,Business Owner,1614 FRANCISCO St,BERKELEY,CA,94703,
052 155700500,BL-040856,ARCHITECT,Professional SemiProfessional,LABORDE HENRI,541310 - Architectural Services,P,0,Sole Ownership,LABORDE HENRI,2305 WOOLSEY ST,,BERKELEY,CA,94705,Business Owner,2305 WOOLSEY ST,BERKELEY,CA,94705,
057 209804200,BL-017235,CONSULTING OFFICE HQ,Administrative Headquarters,FORGEX CONSULTANTS INC,561110 - Office Administrative Services,Q,2,Corporation,FORGEX CONSULTANTS INC,800 DELAWARE ST 12-23,,BERKELEY,CA,947102333,Business Owner,800 DELAWARE St,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-022161,BOUNCE HOUSE RENTAL,Retail Trade,JUMP JUMP AND AWAY,532284 - Recreational Goods Rental,R,4,Sole Ownership,JUMP JUMP AND AWAY,81 EL BONITO WAY,,BENICIA,CA,94510,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-016489,ROOFING CONTRACTOR,Construction or Contractor,ROOF SOLUTIONS INC,238160 - Roofing Contractors,C,4,Corporation,ROOF SOLUTIONS INC,4599 PACE LN,,VACAVILLE,CA,95688-9642,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
059 226001502,BL-030217,PSYCHOTHERAPY,Professional SemiProfessional,AKULLIAN DAVID,621330 - Offices of Mental Health Practitioners (except Physicians),P,1,Sole Ownership,AKULLIAN DAVID,1543 SHATTUCK AVE STE 102,,BERKELEY,CA,94709,Business Owner,1543 SHATTUCK AVE,BERKELEY,CA,94709,
055 183208000,BL-001316,ACCOUNTING SERVICE,Professional SemiProfessional,BLOOM JUDITH L CPA,541211 - Offices of Certified Public Accountants,P,0,Sole Ownership,BLOOM JUDITH L CPA,PO BOX 9276,,BERKELEY,CA,94709-9276,Business Owner,2550 DANA St,BERKELEY,CA,94704,
055 189401704,BL-013312,LITIGATION CONSULTING,Professional SemiProfessional,VEGA ECONOMICS & FINANCIAL CONSULTING INC,541690 - Other Scientific and Technical Consulting Services,P,9,Corporation,VEGA ECONOMICS & FINANCIAL CONSULTING INC,2040 BANCROFT WAY STE 200,,BERKELEY,CA,947041495,Business Owner,2040 BANCROFT Way,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-010841,DRYWALL CONTRACTOR,Construction or Contractor,PATRICK J RUANE INC,238310 - Drywall and Insulation Contractors,C,40,Corporation,PATRICK J RUANE INC,283 WATTIS WAY,,S SAN FRAN,CA,94080-6715,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
053 158901500,BL-004854,RENTAL REAL ESTATE,Rental of Real Property,SHATTUCK STRATEGIC LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,SHATTUCK STRATEGIC LLC,6001 SHELLMOUND ST STE 825,,EMERYVILLE,CA,946081962,Business Owner,2999 SHATTUCK Ave,BERKELEY,CA,94705,
057 208300401,BL-048927,TAX PREPARATION,Professional SemiProfessional,"LAMB WILLIAM, EA",541213 - Tax Preparation Services,P,0,Sole Ownership,"LAMB WILLIAM, EA",1244 HEARST AVE #3,,BERKELEY,CA,94702,Business Owner,1244 HEARST AVE,BERKELEY,CA,94702,
053 158901801,BL-053141,MARRIAGE & FAMILY THERAPY,Professional SemiProfessional,MERSON MOLLY,624190 - Other Individual and Family Services,P,1,Sole Ownership,MERSON MOLLY,2925 SHATTUCK AVE,,BERKELEY,CA,94705,Business Owner,2925 SHATTUCK AVE,BERKELEY,CA,94705,
052 158401500,BL-017573,PAINTINGS/ACCESSORY/D�COR,Retail Trade,ANITTA YAPPY,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores),R,0,Sole Ownership,ANITTA YAPPY,3040 FULTON ST,,BERKELEY,CA,94705-1876,Business Owner,3040 FULTON St,BERKELEY,CA,94705,
060 245102500,BL-035957,RES. RENTAL - 4 UNITS,Rental of Real Property,AFZAL WAHID & BRADBURY RAYMON,531110 - Lessors of Residential Buildings and Dwellings,L,0,,AFZAL WAHID & BRADBURY RAYMON,1331 BONITA AVE #1B,,BERKELEY,CA,94709,Business Owner,1331 BONITA AVE,BERKELEY,CA,94709,
055 188500202,BL-052163,RESTAURANT,Retail Trade,BERKELEY CITY CLUB,722513 - Limited-Service Restaurants,R,47,Corporation,BERKELEY CITY CLUB,2315 DURANT AVE,,BERKELEY,CA,94704,Business Owner,2315 DURANT AVE,BERKELEY,CA,94704,
058 216900900,BL-033300,RENTAL PROPERTY 3 UNITS,Rental of Real Property,SWAN STEPHEN,531110 - Lessors of Residential Buildings and Dwellings,L,3,Sole Ownership,SWAN STEPHEN,86 HILLCREST RD,,USA,CA,94705,Business Owner,1937 DELAWARE ST,BERKELEY,CA,94709,
ZZZZZZZZZZZZZ,BL-044723,GENERAL CONTRACTOR,Construction or Contractor,TUFF SHED,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0,Corporation,TUFF SHED,1777 HARRISON ST STE 600,,DENVER,CO,80210,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
059 226200100,BL-003500,REDUCE HARMFUL CHEMICALS,Non Profit Organizations,GREEN SCIENCE POLICY INSTITUTE,"541712 - Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",N,8,Corporation,GREEN SCIENCE POLICY INSTITUTE,PO BOX 9127,,BERKELEY,CA,94709,Business Owner,1400 SHATTUCK Ave,BERKELEY,CA,94709,
052 157401404,BL-021825,"MARRIAGE & FAMILY THERAPY, ADHD COACHING",Professional SemiProfessional,HALLOWELL TODARO FAMILY ADHD THERAPY CENTER,621399 - Offices of All Other Miscellaneous Health Practitioners,P,3,Corporation,HALLOWELL TODARO FAMILY ADHD THERAPY CENTER,3010 COLBY ST STE 212,,BERKELEY,CA,947052059,Business Owner,3010 COLBY St,BERKELEY,CA,94705,
055 187900400,BL-002803,COMMERCIAL RENTAL OFFICES,Rental of Real Property,CAMOU TELEGRAPH AVE PROP LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,CAMOU TELEGRAPH AVE PROP LLC,631 TANGLEWOOD DR,,SYKESVILLE,MD,21784,Business Owner,2386 TELEGRAPH AVE,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-052507,GENERAL CONTRACTOR,Construction or Contractor,PCI CONSTRUCTION INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,8,Corporation,PCI CONSTRUCTION INC,2682 MIDDLEFIELD RD STE B,,REDWOOD CITY,CA,94063-3467,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-020897,RESIDENTIAL REMODEL/CONSTRUCTION,Construction or Contractor,AMS CONSTRUCTION LLC,236118 - Residential Remodelers,C,11,LLC,AMS CONSTRUCTION LLC,2700 CINNABAR HILLS CT,,BRENTWOOD,CA,94513-4642,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
052 158400500,BL-033979,MULTI RESIDENTIAL - 5 UNITS,Rental of Real Property,VALIYEE REZA,531110 - Lessors of Residential Buildings and Dwellings,L,4,Sole Ownership,VALIYEE REZA,2253 WARD ST,,BERKELEY,CA,94705,Business Owner,2178 ASHBY AVE,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-022431,HOME REMODELING,Construction or Contractor,EXPRESSIONS GENERAL REMODEL INC,236118 - Residential Remodelers,C,2,Corporation,EXPRESSIONS GENERAL REMODEL INC,1190 BURNETT AVE STE C,,CONCORD,CA,94520,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-013963,ROOFING BUSINESS,Construction or Contractor,CAL STATE ROOFING CO INC,238160 - Roofing Contractors,C,5,Corporation,CAL STATE ROOFING CO INC,509 MAYFAIR AVE,,S SAN FRAN,CA,94080-4509,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
053 162902301,BL-014877,RENTAL PROPERTY,Rental of Real Property,RATNER ARTHUR B,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,RATNER ARTHUR B,2871 SAN PABLO AVE,,BERKELEY,CA,94702-2241,Business Owner,2901 SAN PABLO Ave,BERKELEY,CA,94702,
052 153602300,BL-001514,RES. RENTAL 3 UNITS,Rental of Real Property,CHRISTINA REDSE,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,CHRISTINA REDSE,PO BOX 6419,,ALBANY,CA,947060419,Business Owner,1534 FAIRVIEW St,BERKELEY,CA,94703,
055 183701700,BL-045153,ROOMING HOUSE,Rental of Real Property,CHAN FAITH,721310 - Rooming and Boarding Houses,L,0,Sole Ownership,CHAN FAITH,2756 SUMMIT DR,,HILLSBOROUGH,CA,94010,Business Owner,2540 CHILTON WAY,BERKELEY,CA,94704,
054 179401700,BL-005249,EXECUTIVE COACHING,Professional SemiProfessional,JANE MICALLEF COACHING,541618 - Other Management Consulting Services,P,0,Sole Ownership,JANE MICALLEF COACHING,997 LENEVE PL,,EL CERRITO,CA,945302749,Business Owner,1402 PARKER St,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-020039,WIRELESS TELECOMMUNICATIONS,Business Personal Repair Svs,BOLDYN NETWORKS US LLC,519190 - All Other Information Services,B,0,LLC,BOLDYN NETWORKS US LLC,121 INNOVATION DR STE 200,,IRVINE,CA,92617-3094,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
060 245506401,BL-014805,ARCHITECTURAL SERVICES,Professional SemiProfessional,HDR ARCHITECTURE INC,541310 - Architectural Services,P,0,Corporation,HDR ARCHITECTURE INC,PO BOX 80600,,INDIANAPOLIS,IN,462800600,Business Owner,2095 ROSE St,BERKELEY,CA,94709,
ZZZZZZZZZZZZZ,BL-038334,CPR/FIRST AID TRAINING,Professional SemiProfessional,ICE SAFETY SOLUTIONS,611699 - All Other Miscellaneous Schools and Instruction,P,10,Corporation,ICE SAFETY SOLUTIONS,47703 FREMONT BLVD,,FREMONT,CA,94538,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
059 225602201,BL-013840,RENTAL PROPERTY 25 UNITS,Rental of Real Property,OXFORD STREET LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,OXFORD STREET LLC,PO BOX 2707,,CUPERTINO,CA,95015,Business Owner,1541 OXFORD ST,BERKELEY,CA,94709,
054 178101501,BL-015069,AFFORDABLE HOUSING,Non Profit Organizations,BLAKE APARTMENTS LP,531110 - Lessors of Residential Buildings and Dwellings,N,2,Partnership,BLAKE APARTMENTS LP,1835 ALCATRAZ AVE,,BERKELEY,CA,94703-2714,Business Owner,2527 SAN PABLO Ave,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-018767,TILE CONTRACTOR,Construction or Contractor,TEK TILE INC,238340 - Tile and Terrazzo Contractors,C,0,Corporation,TEK TILE INC,2420 SAND CREEK RD # C1-260,,BRENTWOOD,CA,94513-2707,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-022418,REMODEL,Construction or Contractor,PUZZLEWOOD BUILDERS INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2,Corporation,PUZZLEWOOD BUILDERS INC,38 LUCKY DR,,GREENBRAE,CA,94904,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 177800202,BL-002285,LANDSCAPE DESIGN,Professional SemiProfessional,PLAT STUDIO INC,541320 - Landscape Architectural Services,P,4,Corporation,PLAT STUDIO INC,"2550 NINTH STREET, SUITE 113A",,BERKELEY,CA,947102754,Business Owner,2550 NINTH St,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-013935,HAZARDOUS WASTE SVCS,Construction or Contractor,ALL CLEAN HAZARDOUS WASTE REMOVAL INC,238990 - All Other Specialty Trade Contractors,C,42,Corporation,ALL CLEAN HAZARDOUS WASTE REMOVAL INC,21 GREAT OAKS BLVD,,SAN JOSE,CA,95119-1359,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
053 166101000,BL-021684,LIFESTYLE MEDICINE,Professional SemiProfessional,ELEENA HEALTH,621111 - Offices of Physicians (except Mental Health Specialists),P,2,Corporation,ELEENA HEALTH,2390 E WOODLYN RD,,PASADENA,CA,91104-3444,Business Owner,2818 SAN PABLO Ave,BERKELEY,CA,94702,
057 206802100,BL-008933,RESIDENTIAL RENTAL,Rental of Real Property,MARK JOHN L,531110 - Lessors of Residential Buildings and Dwellings,L,2,Sole Ownership,MARK JOHN L,3310 POWELL ST,,EMERYVILLE,CA,946081548,Business Owner,1510 HEARST AVE,BERKELEY,CA,94703,
052 157309400,BL-021399,HAIRSTYLIST (CHAIR RENT),Business Personal Repair Svs,STEVIE ROSE,812112 - Beauty Salons,B,0,Sole Ownership,STEVIE ROSE,2380 BRANDINI DR,,DUBLIN,CA,945687978,Business Owner,2980 COLLEGE Ave,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-020748,GENERAL CONTRACTOR,Construction or Contractor,JUAREZ CONSTRUCTION,"238190 - Other Foundation, Structure, and Building Exterior Contractors",C,2,Sole Ownership,JUAREZ CONSTRUCTION,8737 HILLSIDE ST,,OAKLAND,CA,94605-3937,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 176401205,BL-031651,EDUCATION MEDIA PROD.,Non Profit Organizations,SIGNIFYIN WORKS,512110 - Motion Picture and Video Production,N,0,Corporation,SIGNIFYIN WORKS,2721 SHATTUCK AVE STE 1006,,BERKELEY,CA,94705-1008,Business Owner,2600 TENTH ST,BERKELEY,CA,94710,
055 189401704,BL-024340,CONSULTING-CITY PLANNING,Professional SemiProfessional,PLACEWORKS,541320 - Landscape Architectural Services,P,35,Corporation,PLACEWORKS,3 MACARTHUR PL STE 1100,,SANTA ANA,CA,92707,Business Owner,2040 BANCROFT Way,BERKELEY,CA,94704,
062 287400400,BL-001810,GRAPHIC DESIGNER,Professional SemiProfessional,BLUE WIND PRESS,541430 - Graphic Design Services,P,2,Sole Ownership,BLUE WIND PRESS,820 MIRAMAR AVE,,BERKELEY,CA,947071807,Business Owner,820 MIRAMAR AVE,BERKELEY,CA,94707,
058 215502300,BL-003833,CONVENIENCE STORE,Retail Trade,CEDAR MARKET,445120 - Convenience Stores,R,2,Corporation,CEDAR MARKET,1601 CALIFORNIA ST,,BERKELEY,CA,94703-1203,Business Owner,1601 CALIFORNIA St,BERKELEY,CA,94703,
052 157310600,BL-018036,TWOPLEX RENTAL,Rental of Real Property,ETTEFAGH FATEMEH & LEILA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,ETTEFAGH FATEMEH & LEILA,6363 CHRISTIE AVE APT 2817,,EMERYVILLE,CA,94608-1950,Business Owner,2948 HILLEGASS Ave,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-019018,TELECOM PROVIDER,Business Personal Repair Svs,CENTURYLINK COMMUNICATIONS LLC,519190 - All Other Information Services,B,0,LLC,CENTURYLINK COMMUNICATIONS LLC,931 14TH ST,,DENVER,CO,80202,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-017162,CONTRACTOR,Construction or Contractor,ROMAN REMODELING INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,7,Corporation,ROMAN REMODELING INC,4604 ESCUELA CT,,RICHMOND,CA,948044390,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-044111,ROOFING CONTRACTOR,Construction or Contractor,GUTIERREZ ROOFING,238160 - Roofing Contractors,C,4,Sole Ownership,GUTIERREZ ROOFING,PO BOX 2251,,SAN RAFAEL,CA,94912-2251,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 190903200,BL-020353,RES. RENTAL - 6 UNITS,Rental of Real Property,TOY HARRY/SYLVIA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,TOY HARRY/SYLVIA,1633 M L KING JR WAY,,BERKELEY,CA,94709,Business Owner,2315 JEFFERSON AVE,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-022489,HANDYMAN/MINOR HOME REPAIR,Business Personal Repair Svs,IT'S ALWAYS SOMETHING MAINTENANCE AND MORE,811490 - Other Personal and Household Goods Repair and Maintenance,B,0,Sole Ownership,IT'S ALWAYS SOMETHING MAINTENANCE AND MORE,7848 ARTHUR ST,,OAKLAND,CA,94605,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 184600300,BL-037063,RES. RENTAL - 27 UNITS,Rental of Real Property,2644 DWIGHT WAY LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,2644 DWIGHT WAY LLC,2040 BANCROFT WAY STE. 301,,BERKELEY,CA,94704-1431,Business Owner,2644 DWIGHT WAY,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-018915,CONSTRUCTION CONTRACTOR,Construction or Contractor,"PARTITION SPECIALTIES, INC",236220 - Commercial and Institutional Building Construction,C,2,Corporation,"PARTITION SPECIALTIES, INC",505 SAN MARIN DRIVE STE A120,,NOVATO,CA,94945,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-000295,ACUPUNCTURE PRACTICE,Professional SemiProfessional,JEAN LUSSON ACUPUNCTURE,621399 - Offices of All Other Miscellaneous Health Practitioners,P,0,Sole Ownership,JEAN LUSSON ACUPUNCTURE,1638 CURTIS ST,,BERKELEY,CA,94702-1329,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
052 157200101,BL-023505,MEDICAL OFFICE,Professional SemiProfessional,EAST BAY NEPHROLOGY MED GROUP,621111 - Offices of Physicians (except Mental Health Specialists),P,13,Corporation,EAST BAY NEPHROLOGY MED GROUP,2905 TELEGRAPH AVE,,BERKELEY,CA,947052017,Business Owner,2905 TELEGRAPH AVE,BERKELEY,CA,94705,
060 239000300,BL-015800,GYMNASTICS APPAREL,Retail Trade,TURN ERIN BRANDS LLC,451110 - Sporting Goods Stores,R,2,Corporation,TURN ERIN BRANDS LLC,1172 SAN PABLO AVE STE 101,,BERKELEY,CA,94706-2258,Business Owner,1172 SAN PABLO Ave,BERKELEY,CA,94706,
ZZZZZZZZZZZZZ,BL-018886,PROVIDE DMV SERVICES,Business Personal Repair Svs,PENINSULA SERVICES,561990 - All Other Support Services,B,1,Sole Ownership,PENINSULA SERVICES,1193 SAN PABLO AVE,,BERKELEY,CA,94706-2215,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-022075,GENERAL CONSTRUCTION,Construction or Contractor,ATZ CONSTRUCTION,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0,Sole Ownership,ATZ CONSTRUCTION,1026 HEARST AVE,,BERKELEY,CA,94710,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-020946,PROVIDE TECH STAFF AUGMENTATION,Business Personal Repair Svs,BLACKSTONE TALENT GROUP,561311 - Employment Placement Agencies,B,67,LLC,BLACKSTONE TALENT GROUP,1141 CAPUCHINO AVE STE 1307,,BURLINGAME,CA,94010-3509,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
